psu,n,new_ID,governorate,district,name,label
1101001,1,cluster_location_id_0001,dahuk,al.amadiya,Amedi,0001 (Amedi)
1101005,1,cluster_location_id_0002,dahuk,al.amadiya,Chamanke,0002 (Chamanke)
1101007,1,cluster_location_id_0003,dahuk,al.amadiya,Deraluk,0003 (Deraluk)
1101008,1,cluster_location_id_0004,dahuk,al.amadiya,Inishke,0004 (Inishke)
1101010,1,cluster_location_id_0005,dahuk,al.amadiya,Kaniya Mala,0005 (Kaniya Mala)
1101011,1,cluster_location_id_0006,dahuk,al.amadiya,Qadish Collective,0006 (Qadish Collective)
1101012,1,cluster_location_id_0007,dahuk,al.amadiya,Sarsink,0007 (Sarsink)
1101019,1,cluster_location_id_0008,dahuk,al.amadiya,Mizi Village,0008 (Mizi Village)
1101020,1,cluster_location_id_0009,dahuk,al.amadiya,Nahla Area,0009 (Nahla Area)
1101021,1,cluster_location_id_0010,dahuk,al.amadiya,Azadi,0010 (Azadi)
1102002,1,cluster_location_id_0011,dahuk,duhok,Al Sinaah,0011 (Al Sinaah)
1102007,1,cluster_location_id_0012,dahuk,duhok,Bahdinan,0012 (Bahdinan)
1102009,1,cluster_location_id_0013,dahuk,duhok,Baroshke,0013 (Baroshke)
1102011,1,cluster_location_id_0014,dahuk,duhok,Bazaar,0014 (Bazaar)
1102016,1,cluster_location_id_0015,dahuk,duhok,Dabin 2,0015 (Dabin 2)
1102017,1,cluster_location_id_0016,dahuk,duhok,Diyari,0016 (Diyari)
1102018,1,cluster_location_id_0017,dahuk,duhok,Eminke,0017 (Eminke)
1102022,1,cluster_location_id_0018,dahuk,duhok,Etit,0018 (Etit)
1102025,2,cluster_location_id_0019,dahuk,duhok,Kora,0019 (Kora)
1102027,1,cluster_location_id_0020,dahuk,sumail,Kevila,0020 (Kevila)
1102032,1,cluster_location_id_0021,dahuk,duhok,Masik-1,0021 (Masik-1)
1102035,1,cluster_location_id_0022,dahuk,duhok,Mazi,0022 (Mazi)
1102039,2,cluster_location_id_0023,dahuk,duhok,Nazarke,0023 (Nazarke)
1102040,1,cluster_location_id_0024,dahuk,duhok,Qassara,0024 (Qassara)
1102043,1,cluster_location_id_0025,dahuk,duhok,Sarbasti,0025 (Sarbasti)
1102046,1,cluster_location_id_0026,dahuk,duhok,Shakhke,0026 (Shakhke)
1102049,1,cluster_location_id_0027,dahuk,duhok,Zawita,0027 (Zawita)
1102050,2,cluster_location_id_0028,dahuk,duhok,Avrike,0028 (Avrike)
1102051,1,cluster_location_id_0029,dahuk,duhok,Zeri Land,0029 (Zeri Land)
1102060,1,cluster_location_id_0030,dahuk,duhok,Baroshka Saadin,0030 (Baroshka Saadin)
1102063,1,cluster_location_id_0031,dahuk,duhok,Rizgari,0031 (Rizgari)
1103001,1,cluster_location_id_0032,dahuk,sumail,Avro City,0032 (Avro City)
1103002,2,cluster_location_id_0033,dahuk,sumail,Bajit Kandala,0033 (Bajit Kandala)
1103004,1,cluster_location_id_0034,dahuk,sumail,Bakhitme,0034 (Bakhitme)
1103006,1,cluster_location_id_0035,dahuk,sumail,Batel,0035 (Batel)
1103009,1,cluster_location_id_0036,dahuk,sumail,Fayda,0036 (Fayda)
1103012,1,cluster_location_id_0037,dahuk,sumail,Girsheen,0037 (Girsheen)
1103020,1,cluster_location_id_0038,dahuk,sumail,Misereek,0038 (Misereek)
1103021,1,cluster_location_id_0039,dahuk,sumail,Namrike,0039 (Namrike)
1103024,1,cluster_location_id_0040,dahuk,sumail,Semel,0040 (Semel)
1103025,2,cluster_location_id_0041,dahuk,sumail,Shariya,0041 (Shariya)
1103030,1,cluster_location_id_0042,dahuk,sumail,War City,0042 (War City)
1103034,1,cluster_location_id_0043,dahuk,sumail,Domiz-Halat,0043 (Domiz-Halat)
1103039,1,cluster_location_id_0044,dahuk,sumail,Kherava,0044 (Kherava)
1103040,1,cluster_location_id_0045,dahuk,sumail,Old Mam Shvana,0045 (Old Mam Shvana)
1103043,1,cluster_location_id_0046,dahuk,sumail,Old Qasr Yazddin,0046 (Old Qasr Yazddin)
1103046,1,cluster_location_id_0047,dahuk,sumail,Old Sorka,0047 (Old Sorka)
1103053,1,cluster_location_id_0048,dahuk,sumail,Marina,0048 (Marina)
1104012,1,cluster_location_id_0049,dahuk,zakho,Chamkork,0049 (Chamkork)
1104013,1,cluster_location_id_0050,dahuk,zakho,Darkar,0050 (Darkar)
1104019,2,cluster_location_id_0051,dahuk,zakho,Diraboon,0051 (Diraboon)
1104020,1,cluster_location_id_0052,dahuk,zakho,Qarawla,0052 (Qarawla)
1104053,1,cluster_location_id_0053,dahuk,zakho,Levo,0053 (Levo)
1104055,2,cluster_location_id_0054,dahuk,zakho,Ashe Chami Sector,0054 (Ashe Chami Sector)
1104056,1,cluster_location_id_0055,dahuk,zakho,Bazar Sector,0055 (Bazar Sector)
1104057,1,cluster_location_id_0056,dahuk,zakho,Betase Sector,0056 (Betase Sector)
1104058,2,cluster_location_id_0057,dahuk,zakho,Bedar Sector,0057 (Bedar Sector)
1104059,1,cluster_location_id_0058,dahuk,zakho,Khrababka Sector,0058 (Khrababka Sector)
1104060,1,cluster_location_id_0059,dahuk,zakho,Rkawa Sector,0059 (Rkawa Sector)
1104062,2,cluster_location_id_0060,dahuk,zakho,Abasiya Sector,0060 (Abasiya Sector)
1104063,2,cluster_location_id_0061,dahuk,zakho,Firqa Sector,0061 (Firqa Sector)
1104064,2,cluster_location_id_0062,dahuk,zakho,Kochka Honari,0062 (Kochka Honari)
1104069,1,cluster_location_id_0063,dahuk,zakho,Gofk,0063 (Gofk)
1104072,1,cluster_location_id_0064,dahuk,zakho,Bersive,0064 (Bersive)
1104073,1,cluster_location_id_0065,dahuk,zakho,Grksindi,0065 (Grksindi)
1202006,1,cluster_location_id_0066,erbil,erbil,Andazyaran,0066 (Andazyaran)
1202010,1,cluster_location_id_0067,erbil,erbil,Bahrka center,0067 (Bahrka center)
1202032,1,cluster_location_id_0068,erbil,erbil,Hay Askary,0068 (Hay Askary)
1202034,1,cluster_location_id_0069,erbil,erbil,Kani Qarzhala,0069 (Kani Qarzhala)
1202039,1,cluster_location_id_0070,erbil,erbil,Kawergosk,0070 (Kawergosk)
1202040,1,cluster_location_id_0071,ninewa,al.hamdaniya,Khabat,0071 (Khabat)
1202043,1,cluster_location_id_0072,erbil,erbil,Kurd Stan,0072 (Kurd Stan)
1202051,1,cluster_location_id_0073,erbil,erbil,Nisthtiman Comercial Complex,0073 (Nisthtiman Comercial Complex)
1202057,1,cluster_location_id_0074,erbil,erbil,Qushtapa centre,0074 (Qushtapa centre)
1202060,1,cluster_location_id_0075,erbil,erbil,Rizgari,0075 (Rizgari)
1202117,1,cluster_location_id_0076,erbil,erbil,Shorsh(Hay arey),0076 (Shorsh(Hay arey))
1202120,1,cluster_location_id_0077,erbil,erbil,Shorsh(Malayan),0077 (Shorsh(Malayan))
1202121,1,cluster_location_id_0078,erbil,erbil,Saidawa(Khabat),0078 (Saidawa(Khabat))
1202136,1,cluster_location_id_0079,erbil,erbil,Du sara fatah,0079 (Du sara fatah)
1202146,1,cluster_location_id_0080,erbil,erbil,Aweney Shar,0080 (Aweney Shar)
1203002,1,cluster_location_id_0081,erbil,koysinjaq,Azady,0081 (Azady)
1203003,1,cluster_location_id_0082,erbil,koysinjaq,Bayizagha,0082 (Bayizagha)
1203004,1,cluster_location_id_0083,erbil,koysinjaq,Bazar koya(Bafri qndeel),0083 (Bazar koya(Bafri qndeel))
1203006,1,cluster_location_id_0084,erbil,koysinjaq,Hamamok,0084 (Hamamok)
1203009,1,cluster_location_id_0085,erbil,koysinjaq,Qalat,0085 (Qalat)
1203010,1,cluster_location_id_0086,erbil,koysinjaq,Taqtaq,0086 (Taqtaq)
1203014,1,cluster_location_id_0087,erbil,koysinjaq,Ashti,0087 (Ashti)
1203015,1,cluster_location_id_0088,erbil,koysinjaq,Nawdaran,0088 (Nawdaran)
1204004,1,cluster_location_id_0089,erbil,makhmour,Gwer,0089 (Gwer)
1204011,1,cluster_location_id_0090,erbil,makhmour,Shahidan,0090 (Shahidan)
1204016,1,cluster_location_id_0091,erbil,makhmour,Kurdistan ,0091 (Kurdistan )
1204017,1,cluster_location_id_0092,erbil,makhmour,Sherwany,0092 (Sherwany)
1204018,1,cluster_location_id_0093,erbil,makhmour,Saray(markez bazar),0093 (Saray(markez bazar))
1204019,1,cluster_location_id_0094,erbil,makhmour,Bndiyan,0094 (Bndiyan)
1204031,1,cluster_location_id_0095,erbil,makhmour,Abu Sheta,0095 (Abu Sheta)
1204032,1,cluster_location_id_0096,erbil,makhmour,Kapran,0096 (Kapran)
1204039,1,cluster_location_id_0097,erbil,makhmour,Salahya,0097 (Salahya)
1204044,1,cluster_location_id_0098,erbil,makhmour,Jarallah,0098 (Jarallah)
1205001,1,cluster_location_id_0099,erbil,rawanduz,Markaz Mergasur,0099 (Markaz Mergasur)
1206003,1,cluster_location_id_0100,erbil,shaqlawa,Bazar Khanzad,0100 (Bazar Khanzad)
1206004,1,cluster_location_id_0101,erbil,shaqlawa,Betrma,0101 (Betrma)
1206006,1,cluster_location_id_0102,erbil,shaqlawa,Harir,0102 (Harir)
1206007,1,cluster_location_id_0103,erbil,shaqlawa,Harir-Batas,0103 (Harir-Batas)
1206008,1,cluster_location_id_0104,erbil,shaqlawa,Hiran,0104 (Hiran)
1206010,1,cluster_location_id_0105,erbil,shaqlawa,Sabirawa,0105 (Sabirawa)
1206011,1,cluster_location_id_0106,erbil,shaqlawa,Safeen,0106 (Safeen)
1206012,1,cluster_location_id_0107,erbil,shaqlawa,Sarmidan-1(Ashti),0107 (Sarmidan-1(Ashti))
1206014,1,cluster_location_id_0108,erbil,shaqlawa,Sarmidan-3(Ashti),0108 (Sarmidan-3(Ashti))
1206015,1,cluster_location_id_0109,erbil,shaqlawa,Shahedan,0109 (Shahedan)
1206017,1,cluster_location_id_0110,erbil,shaqlawa,Spigra,0110 (Spigra)
1207002,1,cluster_location_id_0111,erbil,rawanduz,Khalifan(center),0111 (Khalifan(center))
1207003,1,cluster_location_id_0112,erbil,rawanduz,Rawanduz District,0112 (Rawanduz District)
1207004,1,cluster_location_id_0113,erbil,rawanduz,Soran District,0113 (Soran District)
1207006,1,cluster_location_id_0114,erbil,rawanduz,Diana(Shahedan azady),0114 (Diana(Shahedan azady))
1207008,1,cluster_location_id_0115,erbil,rawanduz,Hay mameel al qeer,0115 (Hay mameel al qeer)
1301004,1,cluster_location_id_0116,sulaymaniyah,chamchamal,Azady,0116 (Azady)
1301006,1,cluster_location_id_0117,sulaymaniyah,chamchamal,Chamchamal-Raparin,0117 (Chamchamal-Raparin)
1301010,1,cluster_location_id_0118,sulaymaniyah,chamchamal,Handreen,0118 (Handreen)
1301016,1,cluster_location_id_0119,sulaymaniyah,chamchamal,Piryadi,0119 (Piryadi)
1301017,1,cluster_location_id_0120,sulaymaniyah,chamchamal,Pura Gulla,0120 (Pura Gulla)
1301021,1,cluster_location_id_0121,sulaymaniyah,chamchamal,SANGAWIAKAN,0121 (SANGAWIAKAN)
1301027,1,cluster_location_id_0122,sulaymaniyah,chamchamal,Sangawi kon,0122 (Sangawi kon)
1301031,1,cluster_location_id_0123,sulaymaniyah,chamchamal,Hazar kani,0123 (Hazar kani)
1301045,1,cluster_location_id_0124,sulaymaniyah,chamchamal,Bani maqan,0124 (Bani maqan)
1301046,1,cluster_location_id_0125,sulaymaniyah,chamchamal,Dawajin,0125 (Dawajin)
1301050,1,cluster_location_id_0126,sulaymaniyah,chamchamal,hashazini,0126 (hashazini)
1302001,1,cluster_location_id_0127,sulaymaniyah,derbendikhan,Campe khwarw,0127 (Campe khwarw)
1302002,1,cluster_location_id_0128,sulaymaniyah,derbendikhan,Hawara barza,0128 (Hawara barza)
1302003,1,cluster_location_id_0129,sulaymaniyah,derbendikhan,Kanisard,0129 (Kanisard)
1302004,1,cluster_location_id_0130,sulaymaniyah,derbendikhan,Kanito,0130 (Kanito)
1302005,1,cluster_location_id_0131,sulaymaniyah,derbendikhan,Sara,0131 (Sara)
1302009,1,cluster_location_id_0132,sulaymaniyah,derbendikhan,Sharwani,0132 (Sharwani)
1302010,1,cluster_location_id_0133,sulaymaniyah,derbendikhan,Khelan,0133 (Khelan)
1303003,1,cluster_location_id_0134,sulaymaniyah,dokan,Chawa spy,0134 (Chawa spy)
1303009,1,cluster_location_id_0135,sulaymaniyah,dokan,Kotal,0135 (Kotal)
1303011,1,cluster_location_id_0136,sulaymaniyah,dokan,Pishowa,0136 (Pishowa)
1303012,1,cluster_location_id_0137,sulaymaniyah,dokan,Qamchugha,0137 (Qamchugha)
1303013,1,cluster_location_id_0138,sulaymaniyah,dokan,Sara,0138 (Sara)
1303016,1,cluster_location_id_0139,sulaymaniyah,dokan,Sharawany,0139 (Sharawany)
1303025,1,cluster_location_id_0140,sulaymaniyah,dokan,Mergapan,0140 (Mergapan)
1303034,1,cluster_location_id_0141,sulaymaniyah,dokan,Shekh Mansourian,0141 (Shekh Mansourian)
1303036,1,cluster_location_id_0142,sulaymaniyah,dokan,Asos,0142 (Asos)
1304004,1,cluster_location_id_0143,sulaymaniyah,derbendikhan,Bakhtyari,0143 (Bakhtyari)
1304006,1,cluster_location_id_0144,sulaymaniyah,halabcha,Barkew,0144 (Barkew)
1304007,1,cluster_location_id_0145,sulaymaniyah,halabcha,Farmanbaran,0145 (Farmanbaran)
1304009,1,cluster_location_id_0146,sulaymaniyah,halabcha,Goran City,0146 (Goran City)
1304012,1,cluster_location_id_0147,sulaymaniyah,halabcha,Gulan,0147 (Gulan)
1304015,1,cluster_location_id_0148,sulaymaniyah,derbendikhan,Azadi,0148 (Azadi)
1304018,1,cluster_location_id_0149,sulaymaniyah,halabcha,Hassar,0149 (Hassar)
1304026,1,cluster_location_id_0150,sulaymaniyah,halabcha,Darwazay Shar,0150 (Darwazay Shar)
1304027,1,cluster_location_id_0151,sulaymaniyah,halabcha,Marzboto,0151 (Marzboto)
1304028,1,cluster_location_id_0152,sulaymaniyah,halabcha,Mordana,0152 (Mordana)
1304038,1,cluster_location_id_0153,sulaymaniyah,derbendikhan,Rezgari,0153 (Rezgari)
1304039,1,cluster_location_id_0154,sulaymaniyah,halabcha,Shikhan,0154 (Shikhan)
1304046,1,cluster_location_id_0155,sulaymaniyah,halabcha,Raparine,0155 (Raparine)
1304049,1,cluster_location_id_0156,sulaymaniyah,halabcha,Tapa kura,0156 (Tapa kura)
1304051,1,cluster_location_id_0157,sulaymaniyah,halabcha,Shahidan-Saidsadiq,0157 (Shahidan-Saidsadiq)
1305002,1,cluster_location_id_0158,sulaymaniyah,kifri,Ban Asiaw,0158 (Ban Asiaw)
1305007,1,cluster_location_id_0159,sulaymaniyah,kalar,Grda Gozina,0159 (Grda Gozina)
1305008,1,cluster_location_id_0160,sulaymaniyah,kalar,Hamren,0160 (Hamren)
1305009,1,cluster_location_id_0161,sulaymaniyah,kalar,Kalar Kon,0161 (Kalar Kon)
1305010,1,cluster_location_id_0162,sulaymaniyah,kalar,Kalari New,0162 (Kalari New)
1305014,1,cluster_location_id_0163,sulaymaniyah,khanaqin,Kulajo,0163 (Kulajo)
1305015,1,cluster_location_id_0164,sulaymaniyah,kalar,Pebaz,0164 (Pebaz)
1305019,1,cluster_location_id_0165,sulaymaniyah,kifri,Shaykh Lankar,0165 (Shaykh Lankar)
1305021,1,cluster_location_id_0166,sulaymaniyah,kalar,Sirwan,0166 (Sirwan)
1305024,1,cluster_location_id_0167,sulaymaniyah,kifri,Ali Khalaf,0167 (Ali Khalaf)
1305031,1,cluster_location_id_0168,sulaymaniyah,kalar,Nawrooz,0168 (Nawrooz)
1305033,1,cluster_location_id_0169,sulaymaniyah,kalar,Garmyan,0169 (Garmyan)
1305036,1,cluster_location_id_0170,sulaymaniyah,kifri,Shakal,0170 (Shakal)
1305038,1,cluster_location_id_0171,sulaymaniyah,kalar,Asuda,0171 (Asuda)
1305040,1,cluster_location_id_0172,sulaymaniyah,kalar,Awbarik,0172 (Awbarik)
1305041,1,cluster_location_id_0173,sulaymaniyah,kalar,Awarakan,0173 (Awarakan)
1308003,1,cluster_location_id_0174,sulaymaniyah,rania,Koling city,0174 (Koling city)
1308004,1,cluster_location_id_0175,sulaymaniyah,rania,Qandil,0175 (Qandil)
1308005,1,cluster_location_id_0176,sulaymaniyah,rania,Raparine,0176 (Raparine)
1308009,1,cluster_location_id_0177,sulaymaniyah,rania,Kewa Rash,0177 (Kewa Rash)
1308011,1,cluster_location_id_0178,sulaymaniyah,rania,Nawroz,0178 (Nawroz)
1308018,1,cluster_location_id_0179,sulaymaniyah,rania,Shishar,0179 (Shishar)
1308022,1,cluster_location_id_0180,sulaymaniyah,rania,kurdistan,0180 (kurdistan)
1308030,1,cluster_location_id_0181,sulaymaniyah,rania,Azadi 1,0181 (Azadi 1)
1308033,1,cluster_location_id_0182,sulaymaniyah,rania,Srra,0182 (Srra)
1310010,1,cluster_location_id_0183,sulaymaniyah,al.sulaymaniyah,Ashty 106 & 104,0183 (Ashty 106 & 104)
1310018,1,cluster_location_id_0184,sulaymaniyah,al.sulaymaniyah,Bakrajo-Qularaese Taza,0184 (Bakrajo-Qularaese Taza)
1310030,1,cluster_location_id_0185,sulaymaniyah,al.sulaymaniyah,Chwar Bakh 401,0185 (Chwar Bakh 401)
1310031,1,cluster_location_id_0186,sulaymaniyah,al.sulaymaniyah,Chwar Chra,0186 (Chwar Chra)
1310042,1,cluster_location_id_0187,sulaymaniyah,al.sulaymaniyah,Gulli Shar,0187 (Gulli Shar)
1310052,1,cluster_location_id_0188,sulaymaniyah,al.sulaymaniyah,Kanakawa,0188 (Kanakawa)
1310062,1,cluster_location_id_0189,sulaymaniyah,al.sulaymaniyah,Kostay Cham,0189 (Kostay Cham)
1310072,1,cluster_location_id_0190,sulaymaniyah,al.sulaymaniyah,Muaskar Al-Salam,0190 (Muaskar Al-Salam)
1310087,1,cluster_location_id_0191,sulaymaniyah,al.sulaymaniyah,Rizgare 408,0191 (Rizgare 408)
1310092,1,cluster_location_id_0192,sulaymaniyah,al.sulaymaniyah,Sabun karan Qt,0192 (Sabun karan Qt)
1310093,1,cluster_location_id_0193,sulaymaniyah,al.sulaymaniyah,Saib City,0193 (Saib City)
1310141,1,cluster_location_id_0194,sulaymaniyah,al.sulaymaniyah,Grdi Joga,0194 (Grdi Joga)
1310144,1,cluster_location_id_0195,sulaymaniyah,al.sulaymaniyah,Srosht 333,0195 (Srosht 333)
1310206,1,cluster_location_id_0196,sulaymaniyah,al.sulaymaniyah,Khalif awa village,0196 (Khalif awa village)
1310211,1,cluster_location_id_0197,sulaymaniyah,al.sulaymaniyah,Zirak,0197 (Zirak)
1310217,1,cluster_location_id_0198,sulaymaniyah,al.sulaymaniyah,Raparine-Zanko,0198 (Raparine-Zanko)
1310227,1,cluster_location_id_0199,sulaymaniyah,al.sulaymaniyah,Shahidan 103,0199 (Shahidan 103)
1310229,1,cluster_location_id_0200,sulaymaniyah,al.sulaymaniyah,Malik mahmood 401,0200 (Malik mahmood 401)
1310230,1,cluster_location_id_0201,sulaymaniyah,al.sulaymaniyah,Sharawane 102,0201 (Sharawane 102)
2101002,1,cluster_location_id_0202,anbar,al.kaim,Al Aubaidi Al Qadima,0202 (Al Aubaidi Al Qadima)
2101004,1,cluster_location_id_0203,anbar,al.kaim,Al Rumanah Al Gharbiyah,0203 (Al Rumanah Al Gharbiyah)
2101006,1,cluster_location_id_0204,anbar,al.kaim,Al Ubaydi-1,0204 (Al Ubaydi-1)
2101007,1,cluster_location_id_0205,anbar,al.kaim,Al Ubaydi-2,0205 (Al Ubaydi-2)
2101011,1,cluster_location_id_0206,anbar,al.kaim,Al-Amen,0206 (Al-Amen)
2101012,1,cluster_location_id_0207,anbar,al.kaim,Albu Hardan,0207 (Albu Hardan)
2101017,1,cluster_location_id_0208,anbar,al.kaim,Hay Al Askary,0208 (Hay Al Askary)
2101018,1,cluster_location_id_0209,anbar,al.kaim,Hay Al Rashid,0209 (Hay Al Rashid)
2101019,1,cluster_location_id_0210,anbar,al.kaim,Hay Al Sham,0210 (Hay Al Sham)
2101023,1,cluster_location_id_0211,anbar,al.kaim,Hay Al-Athar,0211 (Hay Al-Athar)
2101026,1,cluster_location_id_0212,anbar,al.kaim,Hay Al-Makarim,0212 (Hay Al-Makarim)
2101028,1,cluster_location_id_0213,anbar,al.kaim,Hay Al-Yarmook,0213 (Hay Al-Yarmook)
2101029,2,cluster_location_id_0214,anbar,al.kaim,Sadah,0214 (Sadah)
2101030,1,cluster_location_id_0215,anbar,al.kaim,Wazeeriya,0215 (Wazeeriya)
2101032,1,cluster_location_id_0216,anbar,al.kaim,Al Masharea,0216 (Al Masharea)
2101033,1,cluster_location_id_0217,anbar,al.kaim,Tiwaan,0217 (Tiwaan)
2101036,1,cluster_location_id_0218,anbar,al.kaim,Al Baghoz village ,0218 (Al Baghoz village )
2102001,1,cluster_location_id_0219,anbar,al.rutba,Al Askaree,0219 (Al Askaree)
2102002,1,cluster_location_id_0220,anbar,al.rutba,Al Haara,0220 (Al Haara)
2102006,1,cluster_location_id_0221,anbar,al.rutba,Al Wadi,0221 (Al Wadi)
2102007,1,cluster_location_id_0222,anbar,al.rutba,Al-Daraemah Village,0222 (Al-Daraemah Village)
2102008,1,cluster_location_id_0223,anbar,al.rutba,Antesar,0223 (Antesar)
2102010,1,cluster_location_id_0224,anbar,al.rutba,Germany Company Location,0224 (Germany Company Location)
2102011,1,cluster_location_id_0225,anbar,al.rutba,Gharb Al-Wadi,0225 (Gharb Al-Wadi)
2102014,1,cluster_location_id_0226,anbar,al.rutba,Hay Al Meethagh,0226 (Hay Al Meethagh)
2102016,1,cluster_location_id_0227,anbar,al.rutba,Hay Al-Matar,0227 (Hay Al-Matar)
2102021,1,cluster_location_id_0228,anbar,al.rutba,Rumilah Village,0228 (Rumilah Village)
2103001,1,cluster_location_id_0229,anbar,ana,Al bor (Shishan),0229 (Al bor (Shishan))
2103003,1,cluster_location_id_0230,anbar,ana,Al Tadamon,0230 (Al Tadamon)
2103004,1,cluster_location_id_0231,anbar,ana,Al-Awany Village,0231 (Al-Awany Village)
2103005,1,cluster_location_id_0232,anbar,ana,Hay Al Nasir,0232 (Hay Al Nasir)
2103006,1,cluster_location_id_0233,anbar,ana,Hay Al Qadissiyah,0233 (Hay Al Qadissiyah)
2103007,1,cluster_location_id_0234,anbar,ana,Hay Al Salam,0234 (Hay Al Salam)
2103009,1,cluster_location_id_0235,anbar,ana,Hay Al ZeraI,0235 (Hay Al ZeraI)
2104002,1,cluster_location_id_0236,anbar,ana,Al Qaala,0236 (Al Qaala)
2104003,1,cluster_location_id_0237,anbar,ana,Al-Hidayah,0237 (Al-Hidayah)
2104004,1,cluster_location_id_0238,anbar,ana,Hay Al Qadissiyah,0238 (Hay Al Qadissiyah)
2104005,1,cluster_location_id_0239,anbar,ana,Hay Al Salam,0239 (Hay Al Salam)
2104007,1,cluster_location_id_0240,anbar,ana,Hay Al Shuhadaa,0240 (Hay Al Shuhadaa)
2104009,1,cluster_location_id_0241,anbar,ana,Rawa Al Qadima,0241 (Rawa Al Qadima)
2105012,1,cluster_location_id_0242,anbar,al.falluja,Al Shuhadaa 2,0242 (Al Shuhadaa 2)
2105013,1,cluster_location_id_0243,anbar,al.falluja,Al Shurta,0243 (Al Shurta)
2105018,1,cluster_location_id_0244,anbar,al.falluja,Al-Amirya-Albu Jasim,0244 (Al-Amirya-Albu Jasim)
2105019,2,cluster_location_id_0245,anbar,al.falluja,Al-Amirya-Albu Jwad,0245 (Al-Amirya-Albu Jwad)
2105022,1,cluster_location_id_0246,anbar,al.falluja,Al-bazara,0246 (Al-bazara)
2105027,1,cluster_location_id_0247,anbar,al.falluja,Albu Aifan,0247 (Albu Aifan)
2105028,1,cluster_location_id_0248,anbar,al.falluja,Albu Alwan,0248 (Albu Alwan)
2105031,2,cluster_location_id_0249,anbar,al.falluja,Albu Hori,0249 (Albu Hori)
2105034,1,cluster_location_id_0250,anbar,al.falluja,Albu Khanfar,0250 (Albu Khanfar)
2105037,1,cluster_location_id_0251,anbar,al.falluja,Albu Shihab,0251 (Albu Shihab)
2105044,1,cluster_location_id_0252,anbar,al.falluja,Al-jamhuriya,0252 (Al-jamhuriya)
2105045,1,cluster_location_id_0253,anbar,al.falluja,Al-Julan,0253 (Al-Julan)
2105052,1,cluster_location_id_0254,anbar,al.kadhmiyah,Al-Shurtan,0254 (Al-Shurtan)
2105057,1,cluster_location_id_0255,anbar,al.falluja,Halabsa-Falluja,0255 (Halabsa-Falluja)
2105060,1,cluster_location_id_0256,anbar,al.falluja,Luhib,0256 (Luhib)
2105065,1,cluster_location_id_0257,anbar,al.falluja,Qaryat Albu Hadid Al-Nasir,0257 (Qaryat Albu Hadid Al-Nasir)
2105069,2,cluster_location_id_0258,anbar,al.falluja,Al-Amirya-Al Betra,0258 (Al-Amirya-Al Betra)
2105070,1,cluster_location_id_0259,anbar,al.falluja,Al-Amirya-Al Hmedin,0259 (Al-Amirya-Al Hmedin)
2105071,2,cluster_location_id_0260,anbar,al.falluja,Al-Amirya-Al Mouilha,0260 (Al-Amirya-Al Mouilha)
2105073,2,cluster_location_id_0261,anbar,al.falluja,Al-Amirya-Albu Jaber,0261 (Al-Amirya-Albu Jaber)
2105074,1,cluster_location_id_0262,anbar,al.falluja,Al-Amirya-Albu Mrir,0262 (Al-Amirya-Albu Mrir)
2105075,2,cluster_location_id_0263,anbar,al.falluja,Al-Amirya-Albu Saleh,0263 (Al-Amirya-Albu Saleh)
2105076,2,cluster_location_id_0264,anbar,al.falluja,Al-Amirya-Albu Salman,0264 (Al-Amirya-Albu Salman)
2105077,1,cluster_location_id_0265,anbar,al.falluja,Al-Amirya-Tal Ghatas,0265 (Al-Amirya-Tal Ghatas)
2105078,1,cluster_location_id_0266,anbar,al.falluja,Albu Dhaher-Albu Dhaher,0266 (Albu Dhaher-Albu Dhaher)
2105083,1,cluster_location_id_0267,anbar,al.falluja,Hay Al Askari,0267 (Hay Al Askari)
2105086,1,cluster_location_id_0268,anbar,al.falluja,Hay Al Shuhadaa,0268 (Hay Al Shuhadaa)
